paper_id,publication_year,citations_first_5yr,citations_second_5yr,ratio,mean_lag_years,title
W2551619725,2016,2,0,inf,0.5,"Corrigendum: Quantifying expert consensus against the existence of a secret, large-scale atmospheric spraying program (2016 <i>Environ. Res. Lett.</i> <b>11</b> 084011)"
W2011420619,2015,1,0,inf,3.0,Global carbon balance
W2910133204,2012,1,0,inf,1.0,A short-term in situ CO₂ enrichment experiment on Heron Island (GBR) ; A short-term in situ CO(2) enrichment experiment on Heron Island (GBR)
W4253906698,2013,1,0,inf,1.0,Climate response due to carbonaceous aerosols and aerosol-induced SST effects in NCAR community atmospheric model CAM3.5
W4255933271,2013,1,0,inf,2.0,Nitrogen deposition: how important is it for global terrestrial carbon uptake?
W2181724116,2014,0,0,inf,,"Sea Ice Radiative Forcing, Sea Ice Area, and Climate Sensitivity"
W2188164409,2013,0,0,inf,,Effect of Temperature on Photosynthesis and Growth in Marine Synechococcus spp. 1(C)(OPEN)
W2339708389,2011,0,0,inf,,Comment and Reply The need for mass balance and feedback in the geochemical carbon cycle
W2509183966,2015,0,0,inf,,Adapting to Rates of Climate Change: Natural and Human Dimensions II Posters
W2558584222,2014,0,0,inf,,Solar geoengineering to limit the rate of temperature change
W2610841387,2014,0,0,inf,,Methods for Attributing Land-Use Emissions to Products
W2909421516,2015,0,0,inf,,Committed CO2 emissions
W2992201110,2014,0,0,inf,,Temperature response to an emission of carbon dioxide today
W2992864081,2015,0,0,inf,,Deep Sea Memory of High Atmospheric CO2 Concentration
W2995114846,2013,0,0,inf,,Sustainable oceans in a 'civilized' world requires a sustainable human civilization. (Invited)
W2995891436,2014,0,0,inf,,Modeling of Solar Radiation Management: A comparison of simulations using reduced solar constant and stratospheric aerosols
W3017334659,2016,0,0,inf,,Managing Earth's Future: Global Self-Restraint for the Common Good or Domination by Incentive and Power?
W3020361267,2013,0,0,inf,,Potential for progress in carbon cycle modeling: models as tools and representations of reality (Invited)
W3086308459,2013,0,0,inf,,Natural Climate Variability and Future Climate Policy
W3106577824,2016,0,0,inf,,Evolving Patterns of Surface Heat Fluxes Influence Global Radiative Feedback Strength
W3162311389,2012,0,0,inf,,Climate response to changes in atmospheric carbon dioxide and solar irradiance on the time scale of days to weeks
W4244222748,2013,0,0,inf,,"Supplementary material to ""Nitrogen deposition: how important is it for global terrestrial carbon uptake?"""
W7156126153,2015,0,0,inf,,Geoengineering to Shade Earth
W2076938378,2012,9,1,9.0,2.8,Temperature change vs. cumulative radiative forcing as metrics for evaluating climate consequences of energy system choices
W2010698719,2011,7,1,7.0,4.7,Comment on “Atmospheric <i>P</i> <scp>co</scp> <sub>2</sub> Perturbations Associated with the Central Atlantic Magmatic Province”
W2289721959,2016,11,3,3.6667,3.267,Simulated long‐term climate response to idealized solar geoengineering
W2163571212,2012,75,28,2.6786,5.554,"Greenhouse gases, climate change and the transition from coal to low-carbon electricity"
W4250644476,2013,33,14,2.3571,3.735,Rethinking wedges
W1594164258,2015,41,18,2.2778,4.175,Six Month In Situ High-Resolution Carbonate Chemistry and Temperature Study on a Coral Reef Flat Reveals Asynchronous pH and Temperature Anomalies
W1804140002,2011,20,9,2.2222,8.554,Why is there a short-term increase in global precipitation in response to diminished CO<sub>2</sub>forcing?
W2090023600,2013,11,5,2.2,4.556,Climate response due to carbonaceous aerosols and aerosol-induced SST effects in NCAR community atmospheric model CAM3.5
W1965663041,2013,51,24,2.125,4.686,Risks to coral reefs from ocean carbonate chemistry changes in recent earth system model projections
W2516452788,2016,19,9,2.1111,4.071,"Quantifying expert consensus against the existence of a secret, large-scale atmospheric spraying program"
W2041362028,2011,29,17,1.7059,5.302,Can we test geoengineering?
W2316420616,2016,22,14,1.5714,4.139,Why must a solar forcing be larger than a CO <sub>2</sub> forcing to cause the same global mean surface temperature change?
W2341585776,2016,11,7,1.5714,3.611,Interannual stability of organic to inorganic carbon production on a coral atoll
W2027334164,2012,21,14,1.5,6.271,Attribution of atmospheric CO <sub>2</sub> and temperature increases to regions: importance of preindustrial land use change
W2094132477,2012,55,37,1.4865,6.389,Crop yields in a geoengineered climate
W2056736723,2014,26,19,1.3684,4.426,"Community calcification in Lizard Island, Great Barrier Reef: A 33 year perspective"
W2522765912,2016,57,44,1.2955,4.196,Dependence of global radiative feedbacks on evolving patterns of surface heat fluxes
