# ORCID IDs of authors from papers cited in 2025 publications (OpenAlex ID: A5052404353)
# Total unique authors with ORCID: 1684
# Format: ORCID_ID | OpenAlex_ID | Display_Name

0000-0001-5000-5000 | A5006666733 | Joel A. Gordon
0000-0001-5005-3563 | A5044644127 | Michael Jakob
0000-0001-5032-5493 | A5026935547 | P. D. Jones
0000-0001-5035-5983 | A5016008900 | Samuel Asumadu Sarkodie
0000-0001-5043-3523 | A5011775692 | Jamie Rickman
0000-0001-5064-1226 | A5075737875 | Ruilian Zhang
0000-0001-5065-5927 | A5032568649 | R. Jisung Park
0000-0001-5069-4707 | A5062402898 | Massimo Tavoni
0000-0001-5091-5370 | A5027330844 | S. Mostafa Mousavi
0000-0001-5104-4271 | A5088423509 | Christopher J. Poulsen
0000-0001-5112-7982 | A5019454177 | Dustin Gilmer
0000-0001-5139-444X | A5049493168 | Kuishuang Feng
0000-0001-5140-0037 | A5089349617 | Rostislav Kouznetsov
0000-0001-5147-3308 | A5069993492 | Mark O’Malley
0000-0001-5150-0775 | A5065665426 | Kelton Minor
0000-0001-5151-0076 | A5032702693 | Kate M. Willett
0000-0001-5174-4067 | A5042565490 | Rachael Aderonke Ayo-Lawal
0000-0001-5180-9588 | A5100742077 | Lee Hannah
0000-0001-5207-7489 | A5079562910 | Gabrielle Wong‐Parodi
0000-0001-5221-0147 | A5022199034 | Louis‐Philippe Caron
0000-0001-5227-5119 | A5013286424 | René Kleijn
0000-0001-5237-7270 | A5052258273 | Talita Cruz
0000-0001-5245-0538 | A5015008318 | Nathan S. Lewis
0000-0001-5251-0158 | A5033717851 | Manuel Schlund
0000-0001-5265-0791 | A5101926797 | Akihiko Ito
0000-0001-5330-7071 | A5051170302 | Hans Hersbach
0000-0001-5330-9923 | A5085388827 | Hannes Müller Schmied
0000-0001-5363-7492 | A5007050646 | Kwame Awuah-Offei
0000-0001-5370-8772 | A5078669112 | Vaibhav Chaturvedi
0000-0001-5372-4668 | A5046253804 | Nikolay Khabarov
0000-0001-5382-4247 | A5068786348 | Yaxing Liu
0000-0001-5385-2758 | A5080928503 | Mengqi Zhao
0000-0001-5396-5445 | A5054576125 | Beth A. Kaplin
0000-0001-5401-0763 | A5055140409 | Letícia Magalar
0000-0001-5409-1436 | A5036494100 | Arie Staal
0000-0001-5454-2655 | A5100697331 | Qi Liu
0000-0001-5466-2059 | A5050085107 | Kai Kornhuber
0000-0001-5474-7036 | A5050289448 | Ben Radley
0000-0001-5477-2186 | A5100355638 | Yang Liu
0000-0001-5490-2702 | A5091611341 | Julie K. Lundquist
