paper_id,publication_year,n_citations,mode_years,mode_ci_lo,mode_ci_hi,log_sd,logmean,peak_beyond_window,title
W2093693868,2014,223,40.0,17.7612,inf,1.729,6.6784,True,Global and regional trends in greenhouse gas emissions from livestock
W2619921079,2017,17,40.0,4.5822,inf,1.5257,6.0166,True,Will the use of a carbon tax for revenue generation produce an incentive to continue carbon emissions?
W2068342401,2014,66,40.0,15.2582,inf,1.7606,6.7887,True,Natural climate variability and future climate policy
W3015060218,2020,20,40.0,2.1241,inf,2.0193,7.7665,True,A Model‐Based Investigation of Terrestrial Plant Carbon Uptake Response to Four Radiation Modification Approaches
W2020215002,2015,27,40.0,1.0306,inf,2.9735,12.5308,True,Atmospheric consequences of disruption of the ocean thermocline
W2166051013,2014,44,40.0,4.3364,inf,2.3556,9.2378,True,Methods for attributing land-use emissions to products
W1804140002,2011,60,34.5726,2.0497,inf,3.0,12.5431,True,Why is there a short-term increase in global precipitation in response to diminished CO<sub>2</sub>forcing?
W2925259354,2019,73,14.5875,2.9787,inf,1.9126,6.3382,True,The impact of climate change on fertility*
W1097101551,2015,122,13.1055,6.81,inf,1.0722,3.7226,True,Impacts of global warming on residential heating and cooling degree-days in the United States
W2291098356,2016,386,11.0496,3.5333,inf,2.7222,9.8127,True,Reversal of ocean acidification enhances net coral reef calcification
W2811133697,2018,2090,9.0484,7.0241,14.1911,1.0853,3.3804,False,Net-zero emissions energy systems
W2029454019,2013,140,9.0117,5.7302,inf,1.1686,3.5641,True,Effect of Temperature on Photosynthesis and Growth in Marine Synechococcus spp.
W3007956365,2020,28,8.7537,0.1817,inf,3.0,11.1695,True,Evaluating hypoxia alleviation through induced downwelling
W4247620229,2021,38,8.1362,2.287,inf,1.3763,3.9905,True,Meteorology and climatology of historical weekly wind and solar power resource droughts over western North America in ERA5
W2100674544,2011,111,7.998,4.8296,inf,1.3129,3.8029,True,Climate forcing and response to idealized changes in surface latent and sensible heat
W3207640265,2021,259,7.9812,4.1246,inf,1.0201,3.1178,True,Geophysical constraints on the reliability of solar and wind power worldwide
W1793424511,2012,41,7.4852,0.6294,inf,2.2323,6.9961,True,Geoengineering: Whiter skies?
W2098840095,2012,165,7.2783,4.43,inf,1.4665,4.1355,True,Geophysical limits to global wind power
W2076148053,2013,93,7.1421,3.8372,inf,1.4233,3.9919,True,Attributing the increase in atmospheric CO2 to emitters and absorbers
W3047366598,2020,484,6.4499,4.2083,31.4738,1.1364,3.1555,False,Role of Long-Duration Energy Storage in Variable Renewable Electricity Systems
W2110761353,2014,252,6.2081,4.903,10.8461,1.008,2.8419,False,Maximum warming occurs about one decade after a carbon dioxide emission
W2046376516,2011,183,6.1188,5.0811,7.9186,0.8379,2.5134,False,Dependence of climate forcing and response on the altitude of black carbon aerosols
W3089422816,2020,35,5.9233,2.8415,inf,0.9929,2.7648,True,Climate effects of China’s efforts to improve its air quality
W1845614755,2015,143,5.6014,4.2989,12.1569,0.9304,2.5886,False,Climate benefits of natural gas as a bridge fuel and potential delay of near-zero energy systems
W3115812060,2020,18,5.3469,3.7535,inf,0.4533,1.882,True,Climate More Responsive to Marine Cloud Brightening Than Ocean Albedo Modification: A Model Study
W2044269414,2011,459,5.3379,4.6959,6.1431,0.9062,2.496,False,The supply chain of CO <sub>2</sub> emissions
W2983830329,2019,29,5.1747,2.7954,inf,0.9153,2.4816,True,Photo-movement in the sea anemone Aiptasia influenced by light quality and symbiotic association
W1703230271,2011,53,5.1746,3.0973,20.1186,0.9795,2.6031,False,The frequency response of temperature and precipitation in a climate model
W3137223864,2021,23,5.0393,0.6115,inf,1.6543,4.3541,True,Unexpected role of communities colonizing dead coral substrate in the calcification of coral reefs
W2143872408,2013,37,5.0358,0.5631,inf,1.7041,4.5205,True,Climate response to imposed solar radiation reductions in high latitudes
W2155214415,2013,53,4.8308,2.7441,inf,1.0592,2.6969,True,Nitrogen deposition: how important is it for global terrestrial carbon uptake?
W2788184393,2018,308,4.7412,3.3279,17.0523,1.3056,3.261,False,Geophysical constraints on the reliability of solar and wind power in the United States
W2508189370,2016,22,4.6965,3.0689,inf,0.6221,1.9338,True,Greenhouse Gas Emissions Due to Meat Production in the Last Fifty Years
W2162096236,2012,14,4.5798,0.4353,inf,0.7946,2.153,True,Avoiding mangrove destruction by avoiding carbon dioxide emissions
W2529760069,2016,12,4.5761,0.4807,inf,0.8235,2.199,True,Adapting to rates versus amounts of climate change: a case of adaptation to sea-level rise
W2092072317,2013,111,4.3561,3.1132,7.1025,1.0239,2.52,False,Projections of the pace of warming following an abrupt increase in atmospheric carbon dioxide concentration
W3094610577,2020,15,4.3427,0.3285,inf,1.3425,3.2707,True,Climate change as an incentive for future human migration
W2885862515,2018,140,4.2592,3.5906,5.9657,0.6799,1.9114,False,Divergent global-scale temperature effects from identical aerosols emitted in different regions
W3175494581,2021,36,4.2407,1.8153,inf,1.2084,2.9051,True,Spatial constraints in large-scale expansion of wind power plants
W2178889352,2015,99,4.2105,2.3242,inf,1.4133,3.4351,True,Long-term response of oceans to CO2 removal from the atmosphere
W2158006323,2015,102,4.1223,3.3885,5.0563,0.6926,1.8961,False,Coral reef metabolism and carbon chemistry dynamics of a coral reef flat
W2889872645,2018,791,4.083,3.6222,4.8574,0.9066,2.2288,False,Country-level social cost of carbon
W2907417922,2018,33,4.0629,3.3343,5.3883,0.4359,1.5919,False,Reduced emissions through climate damage to the economy
W2045662683,2015,43,4.0423,0.228,inf,2.976,10.2536,True,Atmospheric impacts of sea ice decline in CO2 induced global warming
W1964220360,2011,48,4.0392,2.9283,5.0773,0.6674,1.8415,False,Coupled climate–carbon simulations indicate minor global effects of wars and epidemics on atmospheric CO <sub>2</sub> between <scp>ad</scp> 800 and 1850
W2119534125,2013,120,4.033,2.8772,6.0801,1.0437,2.4838,False,Strategic incentives for climate geoengineering coalitions to exclude broad participation
W2898401736,2018,35,3.9415,2.0745,inf,1.0206,2.4131,True,Comparison of the Fast and Slow Climate Response to Three Radiation Management Geoengineering Schemes
W2887947886,2018,67,3.8053,3.1607,4.9968,0.5679,1.6589,False,The efficacy of aerosol–cloud radiative perturbations from near-surface emissions in deep open-cell stratocumuli
W2925057469,2019,11,3.7929,2.7953,9.5962,0.3412,1.4495,False,Author Correction: Country-level social cost of carbon
W2068047583,2014,77,3.7668,3.0092,4.5309,0.6572,1.7581,False,Modeling of solar radiation management: a comparison of simulations using reduced solar constant and stratospheric sulphate aerosols
W2955480378,2019,739,3.6534,3.1321,4.686,1.0236,2.3433,False,Committed emissions from existing energy infrastructure jeopardize 1.5 °C climate target
W3011155179,2020,24,3.6415,1.3335,inf,1.1368,2.5846,True,Responses of sea urchin larvae to field and laboratory acidification
W2103002650,2012,110,3.5901,2.758,4.413,0.8225,1.9546,False,Management of trade-offs in geoengineering through optimal choice of non-uniform radiative forcing
W2100491050,2014,17,3.5698,0.3548,inf,0.8732,2.0349,True,Estimating the Contribution of Sea Ice Response to Climate Sensitivity in a Climate Model
W2911927510,2019,4,3.5548,0.419,inf,0.3205,1.371,True,Carbon Isotopic Fractionation in Organic Matter Production Consistent With Benthic Community Composition Across a Coral Reef Flat
W2762861826,2017,67,3.4367,2.4852,5.9527,0.8317,1.9262,False,Geophysical potential for wind energy over the open oceans
W2885213158,2018,58,3.4295,2.7933,4.3473,0.5709,1.5584,False,Global and Arctic climate sensitivity enhanced by changes in North Pacific heat flux
W2016607514,2014,88,3.2915,1.9543,6.1325,1.1508,2.5157,False,Solar geoengineering to limit the rate of temperature change
W2142213164,2014,80,3.281,1.8505,6.7826,1.16,2.5338,False,CH <sub>4</sub> and N <sub>2</sub> O emissions embodied in international trade of meat
